Scheme,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Encapsulation [cycles] (mean),Encapsulation [cycles] (min),Encapsulation [cycles] (max),Decapsulation [cycles] (mean),Decapsulation [cycles] (min),Decapsulation [cycles] (max),Key Generation [bytes],Encapsulation [bytes],Decapsulation [bytes],nan,nan,nan,nan,nan,nan,.text [bytes],.data [bytes],.bss [bytes],Total [bytes],nan_size,nan_size,nan_size,nan_size,nan_size,Total_Cycles,Max_RAM,Flash,Security_Level,EAS_Class 0,EAS_Class 1,EAS_Class 2
cross-sha3-r-sdpg-1-small,ref,290135,287741,297757,102853622,102847774,102861948,75137510,75126803,75159685,71.8,74.7,78.4,,,,,,,18846,0,208,19054,,,,,,178281267.0,19054.0,19054.0,1,0.0,0.0,0.902
cross-sha3-r-sdpg-3-fast,ref,627948,625525,637639,43573841,43565461,43582933,27513830,27493024,27525746,4032,205080,108236,,,,,,,19689,0,208,19897,,,,,,71715619.0,205080.0,19897.0,1,0.0,0.0,0.0
cross-sha3-r-sdpg-3-fast,ref,627948,625525,637639,43573841,43565461,43582933,27513830,27493024,27525746,71.7,68.2,68.7,,,,,,,19689,0,208,19897,,,,,,71715619.0,19897.0,19897.0,1,0.0,0.0,0.898
cross-sha3-r-sdpg-5-fast,ref,1146280,1142409,1153794,93557878,93547167,93566329,59948216,59857434,60043852,6824,398600,213436,,,,,,,18593,0,208,18801,,,,,,154652374.0,398600.0,18801.0,1,0.0,0.0,0.0
cross-sha3-r-sdpg-5-fast,ref,1146280,1142409,1153794,93557878,93547167,93566329,59948216,59857434,60043852,71.1,66.1,66.8,,,,,,,18593,0,208,18801,,,,,,154652374.0,18801.0,18801.0,1,0.0,0.0,0.904
fndsa_provisional-1024,m4f,308608613,195536229,763483542,48321135,48158227,48398718,793856,782604,799182,27772,81992,5024,,,,,,,103801,0,0,103801,,,,,,357723604.0,103801.0,103801.0,5,0.0,0.0,0.0
fndsa_provisional-1024,m4f,308608613,195536229,763483542,48321135,48158227,48398718,793856,782604,799182,7.0,10.2,61.6,,,,,,,103801,0,0,103801,,,,,,357723604.0,103801.0,103801.0,5,0.0,0.0,0.0
fndsa_provisional-1024,ref,274928016,217869128,448029028,107512779,107106716,107788566,1461795,1444739,1469817,27676,82276,5308,,,,,,,103089,0,0,103089,,,,,,383902590.0,103089.0,103089.0,5,0.0,0.0,0.0
fndsa_provisional-1024,ref,274928016,217869128,448029028,107512779,107106716,107788566,1461795,1444739,1469817,8.0,6.2,45.3,,,,,,,103089,0,0,103089,,,,,,383902590.0,103089.0,103089.0,5,0.0,0.0,0.0
fndsa_provisional-512,m4f,67693338,57825106,81542705,22469685,22280159,22594542,396949,390368,406553,14348,41952,2976,,,,,,,103789,0,0,103789,,,,,,90559972.0,103789.0,103789.0,1,0.0,0.0,0.0
fndsa_provisional-512,m4f,67693338,57825106,81542705,22469685,22280159,22594542,396949,390368,406553,4.2,11.2,64.0,,,,,,,103789,0,0,103789,,,,,,90559972.0,103789.0,103789.0,1,0.0,0.0,0.0
